"id","expected_cited_by_count","expected_cites_count","abstract","publish_date","date_added","title","journal_id"
"19",0,27,"Das landerubergreifende Management von Innovation ist eine wichtige und schwierige Aufgabe der modernen Unternehmensfuhrung. Bereits in einem nationalen Umfeld ist die Komplexitat des kreativen, meist nicht physischen und nur bedingt transparenten Innovationsprozesses sehr hoch. Die Organisation dieses Prozesses gestaltet sich noch schwieriger, wenn Mitarbeiter aus unterschiedlichen Kulturen und Zeitzonen effizient vermarktbare und erfolgreiche Produkt- und Dienstleistungsinnovationen hervorbringen sollen. Am Beispiel von F&E-Prozessen werden die zentralen Motive und Zielsetzungen der Internationalisierung dieses bedeutenden betrieblichen Prozesses gezeigt, die aus strategischen und Kostenuberlegungen resultieren. Die wesentlichen Aspekte des internationalen Innovationsmanagements werden insbesondere anhand der Vorstellung und Diskussion der wichtigsten Managementaufgaben dargeleg: der Standortwahl, der Festlegung von Organisationsstruktur und Organisationsform sowie dem Management des Innovationsprozesses.Das landerubergreifende Management von Innovation ist eine wichtige und schwierige Aufgabe der modernen Unternehmensfuhrung. Bereits in einem nationalen Umfeld ist die Komplexitat des kreativen, meist nicht physischen und nur bedingt transparenten Innovationsprozesses sehr hoch. Die Organisation dieses Prozesses gestaltet sich noch schwieriger, wenn Mitarbeiter aus unterschiedlichen Kulturen und Zeitzonen effizient vermarktbare und erfolgreiche Produkt- und Dienstleistungsinnovationen hervorbringen sollen. Am Beispiel von F&E-Prozessen werden die zentralen Motive und Zielsetzungen der Internationalisierung dieses bedeutenden betrieblichen Prozesses gezeigt, die aus strategischen und Kostenuberlegungen resultieren. Die wesentlichen Aspekte des internationalen Innovationsmanagements werden insbesondere anhand der Vorstellung und Diskussion der wichtigsten Managementaufgaben dargeleg: der Standortwahl, der Festlegung von Organisationsstruktur und Organisationsform sowie dem Management des Innovationsprozesses.","2007-01-01","2019-02-08","Stand und Perspektiven des internationalen Innovationsmanagements",6
"20",0,12,"","2009-01-01","2019-02-08","Location determinants ofhigh-tech manufacturing activities: apreliminary analysis",229
"21",NULL,NULL,NULL,NULL,"2019-02-08","The Geography of Innovativeness - New product announcements in The Netherlands",NULL
"22",2,63,"This paper examines the recent siting of foreign-owned corporate technological development in European regions. The data used are patents granted in the US to the world's largest firms in the period 1987-'95. According with the literature on knowledge creation in MNCs, we find that location of foreign-owned research tends to agglomerate, depending upon the potential for different sources of spillovers. Specifically, we find that location decisions are positively influenced by intra- and inter-industry spillovers, and the local scientific and educational infrastructure.This paper examines the recent siting of foreign-owned corporate technological development in European regions. The data used are patents granted in the US to the world's largest firms in the period 1987-'95. According with the literature on knowledge creation in MNCs, we find that location of foreign-owned research tends to agglomerate, depending upon the potential for different sources of spillovers. Specifically, we find that location decisions are positively influenced by intra- and inter-industry spillovers, and the local scientific and educational infrastructure.","2003-01-01","2019-02-08","The recent location of foreign R&D activities by large MNCs in the European regions. The role of different sources of spillovers",6
"23",NULL,NULL,NULL,NULL,"2019-02-08","Knowledge spillover effects at the sub-regional level: Theory and estimation",NULL
"24",NULL,NULL,NULL,NULL,"2019-02-08","Agglomeration economies and vertical alliances : the route to product innovation in biotechnology firms",NULL
"25",NULL,NULL,NULL,NULL,"2019-02-08","The location of technological activities of MNCs in European regions: The role of spillovers and local competencies",NULL
"26",NULL,NULL,NULL,NULL,"2019-02-08","The Demise of Distance? The Declining Role of Physical Proximity for Knowledge Transmission",NULL
"27",NULL,NULL,NULL,NULL,"2019-02-08","Les pôles de compétitivité : morphologies et performances",NULL
"28",NULL,NULL,NULL,NULL,"2019-02-08","Organizational strategies, firms' performance and spatial spillovers : the Canadian case in research and development",NULL
"29",NULL,NULL,NULL,NULL,"2019-02-08","International R&D Deployment and Locational Advantage of Developing Countries: A Case Study of Taiwan",NULL
"30",NULL,NULL,NULL,NULL,"2019-02-08","Agglomeration, ownership, and R&D activity: firm-level evidence from China’s electronics industry",NULL
"31",NULL,NULL,NULL,NULL,"2019-02-08","Does Distance Matter Less Now? The Changing Role of Geography in Biotechnology Innovation",NULL
"32",0,27,"The paper proposes differentiation within R&D activities and formation and integration as dimensions of the growth of the corporate multinational R&D. The role of multinational R&D activities will vary from case to case and is subject to change over time. Path dependencies and the nature of the R&D units and modes of coordination may actively contribute to determining what kind of research they should be called upon to perform. Drawing on the results of a study carried out both on the literature and case analysis, this paper offers a comparison between two different models in developing capabilities for integration in multinational R&D. In our view, corporate strategies may correspond to highly diverse and at times even contrasting models of multinational R&D.The paper proposes differentiation within R&D activities and formation and integration as dimensions of the growth of the corporate multinational R&D. The role of multinational R&D activities will vary from case to case and is subject to change over time. Path dependencies and the nature of the R&D units and modes of coordination may actively contribute to determining what kind of research they should be called upon to perform. Drawing on the results of a study carried out both on the literature and case analysis, this paper offers a comparison between two different models in developing capabilities for integration in multinational R&D. In our view, corporate strategies may correspond to highly diverse and at times even contrasting models of multinational R&D.","2004-01-01","2019-02-08","Developing capabilities for integration in multinational R&D approaches and models",1064
"33",NULL,NULL,NULL,NULL,"2019-02-08","Forschungseinrichtungen und Unternehmenssektor: Ein Beitrag zur Erklärung innovationsorientierter Zusammenarbeit",NULL
"34",NULL,NULL,NULL,NULL,"2019-02-08","Introduction: the role of proximity relations in regional and territorial development processes",NULL
"35",NULL,NULL,NULL,NULL,"2019-02-08","The role of proximity relations in regional and territorial development processes",NULL
"36",NULL,NULL,NULL,NULL,"2019-02-08","A far friend is worth more than a good neighbour : Proximity and innovation in a small country",NULL
"37",NULL,NULL,NULL,NULL,"2019-02-08","The Influence of University R&D Expenditures on New Business Formations and Employment Growth",NULL
"38",NULL,NULL,NULL,NULL,"2019-02-08","Linkages and spillovers in global production networks: firm-level analysis of the Czech automotive industry",NULL
"39",NULL,NULL,NULL,NULL,"2019-02-08","Surveying the Literature on Territorial Innovation Systems: A Suggested Interpretation Framework",NULL
"40",NULL,NULL,NULL,NULL,"2019-02-08","CAN A KNOWLEDGE-BASED CLUSTER BE CREATED? THE CASE OF THE BARCELONA 22@DISTRICT *",NULL
"41",NULL,NULL,NULL,NULL,"2019-02-08","Modular Production and the New Division of Labour Within Europe: The Perspective of French Automotive Parts Suppliers",NULL
"42",NULL,NULL,NULL,NULL,"2019-02-08","Mapping Foreign direct Investment in UK Regions: The Role of Environmental Determinism and Dynamism",NULL
"43",NULL,NULL,NULL,NULL,"2019-02-08","Concentraciones territoriales, alianzas estratégicas e innovación. Un enfoque de capacidades dinámicas☆",NULL
"44",NULL,NULL,NULL,NULL,"2019-02-08","Obstacles to Emergence of High/New Technology Parks, Ventures and Clusters in Japan",NULL
"45",NULL,NULL,NULL,NULL,"2019-02-08","Linkages and Spillovers",NULL
"46",NULL,NULL,NULL,NULL,"2019-02-08","Les groupes à la croisée des territoires : géostratégie de l'innovation",NULL
"47",NULL,NULL,NULL,NULL,"2019-02-08","Cahiers du GRES",NULL
"48",NULL,NULL,NULL,NULL,"2019-02-08","Agglomeration and Innovation",NULL
"49",0,16,"","2006-06-01","2019-02-08","L'internationalisation de l'industrie aérospatiale française durant les années 1990 La décennie de la rupture ?",6
"50",NULL,NULL,NULL,NULL,"2019-02-08","Defining the Relationship Among Founding Resources, Strategies, and Performance in Technology-Intensive New Ventures: Evidence from the Semiconductor Silicon Industry",NULL
"51",0,18,"The purpose of the paper is to present possible approaches of the innovative potential of the regions, with an empirical application concerning the relation between characteristics of regions (scientific and technological density) and the firmÂ’s competencies. Regions, which are territories with specific institutional and techno-economic characteristics, will be considered here as significant contexts for innovation processes. By using the word Â“contextÂ”, we want to underline the importance of regional characteristics, even in a globalised economy, but we are reluctant to speak of regional Â“systemÂ” without carefully analysing the possible meaning of such a notion. RIS is a useful concept if it one stresses its cognitive content - a way of interacting that leads to specific competence to innovate - but can be misleading if understood as an ex ante given network of actors and infrastructures. An important characterisation of territorial specificity in evolutionary terms is the cognitive potential of actors. For instance, firms"" capabilities vary to a large extent following the type of innovation under consideration : outcome of science-based R&D, particular competitiveness in marketing innovative products, incremental improvements through learning by using (N. Rosenberg) or other sort of learning by interacting (B-A. Lundvall). To give an empirical example, we will use the results of a survey of the French industry focusing on the innovative competence of the firms. We have developed an econometric model for testing the influence of the regional scientific and technological context on the nature of the Â“competence to innovateÂ” declared by the firms in the inquiry. This study is an opportunity to cast light on the concept of critical interfaces evoked by K. Pavitt (1998), by underlining several schemes of industrial development according to specific characteristics of industries and regions. Designing differentiated regional policies on the basis of such an analysis seems to be possible.The purpose of the paper is to present possible approaches of the innovative potential of the regions, with an empirical application concerning the relation between characteristics of regions (scientific and technological density) and the firmÂ’s competencies. Regions, which are territories with specific institutional and techno-economic characteristics, will be considered here as significant contexts for innovation processes. By using the word Â“contextÂ”, we want to underline the importance of regional characteristics, even in a globalised economy, but we are reluctant to speak of regional Â“systemÂ” without carefully analysing the possible meaning of such a notion. RIS is a useful concept if it one stresses its cognitive content - a way of interacting that leads to specific competence to innovate - but can be misleading if understood as an ex ante given network of actors and infrastructures. An important characterisation of territorial specificity in evolutionary terms is the cognitive potential of actors. For instance, firms"" capabilities vary to a large extent following the type of innovation under consideration : outcome of science-based R&D, particular competitiveness in marketing innovative products, incremental improvements through learning by using (N. Rosenberg) or other sort of learning by interacting (B-A. Lundvall). To give an empirical example, we will use the results of a survey of the French industry focusing on the innovative competence of the firms. We have developed an econometric model for testing the influence of the regional scientific and technological context on the nature of the Â“competence to innovateÂ” declared by the firms in the inquiry. This study is an opportunity to cast light on the concept of critical interfaces evoked by K. Pavitt (1998), by underlining several schemes of industrial development according to specific characteristics of industries and regions. Designing differentiated regional policies on the basis of such an analysis seems to be possible.","2001-08-01","2019-02-08","Scientific and technological density of regions : the impact on firms"" competence to innovate",6
"52",NULL,NULL,NULL,NULL,"2019-02-08","Agglomeration, innovation and international research mobility",NULL
"53",NULL,NULL,NULL,NULL,"2019-02-08","Les clusters et les réseaux comme fondements de la dynamique d'innovation dans l'industrie biopharmaceutique",NULL
"54",NULL,NULL,NULL,NULL,"2019-02-08","Observing regional divergence of Chinese nanotechnology centers",NULL
"55",NULL,NULL,NULL,NULL,"2019-02-08","Proximity Dynamics, Social Networks and Innovation",NULL
"56",NULL,NULL,NULL,NULL,"2019-02-08","Location of Foreign Research and Development in China",NULL
"57",NULL,NULL,NULL,NULL,"2019-02-08","International R&D Deployment and Locational Advantage: A Case Study of Taiwan",NULL
"58",0,142,"","2012-07-01","2019-02-08","An international ambidexterity model to understand new venture internationalization and growth",6
"59",NULL,NULL,NULL,NULL,"2019-02-08","Exploring the role of proximity in SME knowledge-acquisition",NULL
"60",NULL,NULL,NULL,NULL,"2019-02-08","Cooperation-based innovators and peripheral cooperators: An empirical analysis of their characteristics and behavior",NULL
"61",NULL,NULL,NULL,NULL,"2019-02-08","The changing geography of the European automobile system",NULL
"62",NULL,NULL,NULL,NULL,"2019-02-08","Chicken, or the egg, or both? the interrelationship between a firm's inventor specialization and scope of technologies",NULL
"63",NULL,NULL,NULL,NULL,"2019-02-08","The impact of research and technology organizations on firm competitiveness. Measurement and determinants",NULL
"64",NULL,NULL,NULL,NULL,"2019-02-08","The effects of innovative capabilities and R&D clustering on firm performance: the evidence of Taiwan's semiconductor industry",NULL
"65",NULL,NULL,NULL,NULL,"2019-02-08","The relationship between regional compactness and regional innovation capacity (RIC): Empirical evidence from a national study",NULL
"66",NULL,NULL,NULL,NULL,"2019-02-08","The dynamics of proximity in multiple-party innovation processes",NULL
"67",NULL,NULL,NULL,NULL,"2019-02-08","L'impact de la production modulaire sur l'approfondissement de la Division Internationale des Processus Productifs (DIPP)",NULL
"68",NULL,NULL,NULL,NULL,"2019-02-08","Codification of knowledge inside a cluster: the case of the Telecom Valley in Sophia Antipolis.",NULL
"69",NULL,NULL,NULL,NULL,"2019-02-08","What kind of individual education for which type of regional innovative competence? An exploration of data on French industries",NULL
"70",NULL,NULL,NULL,NULL,"2019-02-08","Knowledge Transfers between Canadian Business Enterprises and Universities: Does Distance Matter?",NULL
"71",NULL,NULL,NULL,NULL,"2019-02-08","The internationalisation of the French aerospace industry in the 1990s: a break with the past? (In French)",NULL
"72",57,67,"The concentration and dispersion of innovative activities in space have been largely explained and evidenced by the nature of knowledge and the geographical extent of knowledge spillovers. One of the empirical challenges is to go beyond this by understanding how the geography of innovation is shaped by particular structural properties of knowledge networks. This paper contributes to this challenge, focusing on the particular case of global navigation satellite systems at the European level. We exploit a database of R&D collaborative projects based on the fifth and sixth European Union Framework Programs, and apply social network analysis in economic geography. We study the properties both of the network of organizations and the network of collaborative projects. We show that the nature of the knowledge involved in relationships influences the geographical and structural organizations of the technological field. The observed coexistence of a relational core/periphery structure with a geographical cluster/pipeline one is discussed in the light of the industrial and geographical dynamics of technological standards.The concentration and dispersion of innovative activities in space have been largely explained and evidenced by the nature of knowledge and the geographical extent of knowledge spillovers. One of the empirical challenges is to go beyond this by understanding how the geography of innovation is shaped by particular structural properties of knowledge networks. This paper contributes to this challenge, focusing on the particular case of global navigation satellite systems at the European level. We exploit a database of R&D collaborative projects based on the fifth and sixth European Union Framework Programs, and apply social network analysis in economic geography. We study the properties both of the network of organizations and the network of collaborative projects. We show that the nature of the knowledge involved in relationships influences the geographical and structural organizations of the technological field. The observed coexistence of a relational core/periphery structure with a geographical cluster/pipeline one is discussed in the light of the industrial and geographical dynamics of technological standards.","2013-01-01","2019-07-22","Structural and geographical patterns of knowledge networks in emerging technological standards: evidence from the European GNSS industry",364
"73",NULL,NULL,NULL,NULL,"2019-02-08","Path-Dependent Dynamics and Technological Spillovers in the Brazilian Regions",NULL
"74",NULL,NULL,NULL,NULL,"2019-02-08","Internal and External Determinants of Radical and incremental Innovation in SMEs: the case of Catalonia",NULL
"75",NULL,NULL,NULL,NULL,"2019-02-08","HOW DO SPATIAL SPILLOVERS DIFFUSE IN SCIENCE–INDUSTRY INTERACTIONS? THE CASE OF FRENCH BIOTECH SECTOR",NULL
"76",NULL,NULL,NULL,NULL,"2019-02-08","Managing Foreign R&D Laboratories in China",NULL
"77",NULL,NULL,NULL,NULL,"2019-02-08","On Explaining Locational Patterns of R&D Activities by Multinational Enterprises",NULL
"78",NULL,NULL,NULL,NULL,"2019-02-08","The odd role of proximity in knowledge relations: high‐tech in the Netherlands",NULL
"79",NULL,NULL,NULL,NULL,"2019-02-08","The Internationalization of Corporate R&D and the Automotive Industry R&D of East-Central Europe.",NULL
"80",NULL,NULL,NULL,NULL,"2019-02-08","The Scientific Trajectory of the French School of Proximity: Interaction- and Institution-based Approaches to Regional Innovation Systems",NULL
"81",NULL,NULL,NULL,NULL,"2019-02-08","The regionalization of innovation policy: New options for regional change?",NULL
"82",NULL,NULL,NULL,NULL,"2019-02-08","The Coordination Issues of Relocations? How Proximity Still Matters in Location of Software Development Activities",NULL
"83",NULL,NULL,NULL,NULL,"2019-02-08","Location determinants of high-tech manufacturing activities: a preliminary analysis",NULL
"84",4,13,"During the past few years, the Army has undertaken a major effort to integrate computer, information, and communication technologies throughout the force. These technologies have made a profound impact on the Army's tactical command and control (C/sup 2/) processes, especially at division and below. This paper presents a computer simulation model to support the reengineering of the United States Army's staff organization at division and below for information operations. The simulation model under development will provide force planners with a tool for methodically conducting comparative analyses of specific alternatives for reengineering tactical level Army staffs to improve efficiency and effectiveness of staff work related to information operations.During the past few years, the Army has undertaken a major effort to integrate computer, information, and communication technologies throughout the force. These technologies have made a profound impact on the Army's tactical command and control (C/sup 2/) processes, especially at division and below. This paper presents a computer simulation model to support the reengineering of the United States Army's staff organization at division and below for information operations. The simulation model under development will provide force planners with a tool for methodically conducting comparative analyses of specific alternatives for reengineering tactical level Army staffs to improve efficiency and effectiveness of staff work related to information operations.","1996-11-08","2019-02-08","Reengineering the United States Army's tactical command and control operational architecture for information operations",2
"85",NULL,NULL,NULL,NULL,"2019-02-08","From Service Operational Headquarters to Joint Task Force Capable Headquarters: An Organizational Transition Model",NULL
"86",NULL,NULL,NULL,NULL,"2019-02-08","Prototyping advanced warfare gaming capabilities for the 21st century warfighter",NULL
"87",NULL,NULL,NULL,NULL,"2019-02-08","DoD C4ISR Cooperative Research Program",NULL
"88",NULL,NULL,NULL,NULL,"2019-02-08","[book]Network Centric Warfare: Developing and Leveraging Information Superiority",NULL
"89",NULL,NULL,NULL,NULL,"2019-02-08","Queueing Systems Volume 1 Theory",NULL
"90",NULL,NULL,NULL,NULL,"2019-02-08","The first information war",NULL
"91",NULL,NULL,NULL,NULL,"2019-02-08","War in the Information Age",NULL
"92",NULL,NULL,NULL,NULL,"2019-02-08","Queueing Systems: Volume I-Theory",NULL
"93",NULL,NULL,NULL,NULL,"2019-02-08","Strategic framework for organizing force xxi for future operations",NULL
"94",NULL,NULL,NULL,NULL,"2019-02-08","[book]An introduction to queueing networks",NULL
"95",NULL,NULL,NULL,NULL,"2019-02-08","Using computer simulation to reengineer traditional stove-piped army staffs for information operations in the 21st century",NULL
"96",NULL,NULL,NULL,NULL,"2019-02-08","Theory, Volume 1, Queueing Systems",NULL
"97",NULL,NULL,NULL,NULL,"2019-02-08","Simulation Modeling and Analysis (2nd Ed.)",NULL
"98",NULL,NULL,NULL,NULL,"2019-02-08","[book]Highly parallel computing",NULL
"99",NULL,NULL,NULL,NULL,"2019-02-08","[book]Simulation Modeling and Analysis",NULL
"100",1432,0,"An introduction to systems is provided and tools for systems analysis are considered, taking into account system definitions and concepts, approaches for bringing systems into being, models in systems analysis, economic analysis techniques, mathematical modeling and optimization, probability and statistics, queuing theory and analysis, and control concepts and techniques. The system design process is discussed along with the design for operational feasibility, systems engineering management, and system design case studies. Attention is given to conceptual design, preliminary system design, detail design and development, system test and evaluation, design for reliability, design for maintainability, design for supportability, design for economic feasibility, communication system design, finite population system design, energy storage system design, and procurement-inventory system design.An introduction to systems is provided and tools for systems analysis are considered, taking into account system definitions and concepts, approaches for bringing systems into being, models in systems analysis, economic analysis techniques, mathematical modeling and optimization, probability and statistics, queuing theory and analysis, and control concepts and techniques. The system design process is discussed along with the design for operational feasibility, systems engineering management, and system design case studies. Attention is given to conceptual design, preliminary system design, detail design and development, system test and evaluation, design for reliability, design for maintainability, design for supportability, design for economic feasibility, communication system design, finite population system design, energy storage system design, and procurement-inventory system design.","1998-01-01","2019-02-08","[book]Systems engineering and analysis",6
