"article_ID","article_title"
"44","Obstacles to Emergence of High/New Technology Parks, Ventures and Clusters in Japan"
"45","Linkages and Spillovers"
"46","Les groupes à la croisée des territoires : géostratégie de l'innovation"
"47","Cahiers du GRES"
"48","Agglomeration and Innovation"
"49","L'internationalisation de l'industrie aérospatiale française durant les années 1990 La décennie de la rupture ?"
"50","Defining the Relationship Among Founding Resources, Strategies, and Performance in Technology-Intensive New Ventures: Evidence from the Semiconductor Silicon Industry"
"51","Scientific and technological density of regions : the impact on firms"" competence to innovate"
"52","Agglomeration, innovation and international research mobility"
"53","Les clusters et les réseaux comme fondements de la dynamique d'innovation dans l'industrie biopharmaceutique"
"54","Observing regional divergence of Chinese nanotechnology centers"
"55","Proximity Dynamics, Social Networks and Innovation"
"56","Location of Foreign Research and Development in China"
"57","International R&D Deployment and Locational Advantage: A Case Study of Taiwan"
"58","An international ambidexterity model to understand new venture internationalization and growth"
"59","Exploring the role of proximity in SME knowledge-acquisition"
"60","Cooperation-based innovators and peripheral cooperators: An empirical analysis of their characteristics and behavior"
"61","The changing geography of the European automobile system"
"62","Chicken, or the egg, or both? the interrelationship between a firm's inventor specialization and scope of technologies"
"63","The impact of research and technology organizations on firm competitiveness. Measurement and determinants"
"64","The effects of innovative capabilities and R&D clustering on firm performance: the evidence of Taiwan's semiconductor industry"
"65","The relationship between regional compactness and regional innovation capacity (RIC): Empirical evidence from a national study"
"66","The dynamics of proximity in multiple-party innovation processes"
"67","L'impact de la production modulaire sur l'approfondissement de la Division Internationale des Processus Productifs (DIPP)"
"68","Codification of knowledge inside a cluster: the case of the Telecom Valley in Sophia Antipolis."
"69","What kind of individual education for which type of regional innovative competence? An exploration of data on French industries"
"70","Knowledge Transfers between Canadian Business Enterprises and Universities: Does Distance Matter?"
"71","The internationalisation of the French aerospace industry in the 1990s: a break with the past? (In French)"
"72","Structural and geographical patterns of knowledge networks in emerging technological standards: evidence from the European GNSS industry"
"73","Path-Dependent Dynamics and Technological Spillovers in the Brazilian Regions"
"74","Internal and External Determinants of Radical and incremental Innovation in SMEs: the case of Catalonia"
"75","HOW DO SPATIAL SPILLOVERS DIFFUSE IN SCIENCE–INDUSTRY INTERACTIONS? THE CASE OF FRENCH BIOTECH SECTOR"
"76","Managing Foreign R&D Laboratories in China"
"77","On Explaining Locational Patterns of R&D Activities by Multinational Enterprises"
"78","The odd role of proximity in knowledge relations: high‐tech in the Netherlands"
"79","The Internationalization of Corporate R&D and the Automotive Industry R&D of East-Central Europe."
"80","The Scientific Trajectory of the French School of Proximity: Interaction- and Institution-based Approaches to Regional Innovation Systems"
"81","The regionalization of innovation policy: New options for regional change?"
"82","The Coordination Issues of Relocations? How Proximity Still Matters in Location of Software Development Activities"
"83","Location determinants of high-tech manufacturing activities: a preliminary analysis"
"84","Reengineering the United States Army's tactical command and control operational architecture for information operations"
"85","From Service Operational Headquarters to Joint Task Force Capable Headquarters: An Organizational Transition Model"
"86","Prototyping advanced warfare gaming capabilities for the 21st century warfighter"
"87","DoD C4ISR Cooperative Research Program"
"88","[book]Network Centric Warfare: Developing and Leveraging Information Superiority"
"89","Queueing Systems Volume 1 Theory"
"90","The first information war"
"91","War in the Information Age"
"92","Queueing Systems: Volume I-Theory"
"93","Strategic framework for organizing force xxi for future operations"
"94","[book]An introduction to queueing networks"
"95","Using computer simulation to reengineer traditional stove-piped army staffs for information operations in the 21st century"
"96","Theory, Volume 1, Queueing Systems"
"97","Simulation Modeling and Analysis (2nd Ed.)"
"98","[book]Highly parallel computing"
"99","[book]Simulation Modeling and Analysis"
"100","[book]Systems engineering and analysis"
"101","[book]Discrete-Event System Simulation"
"102","The role of proximity to universities for corporate patenting: provincial evidence from China"
"103","Regional Inequality of Higher Education in China and the Role of Unequal Economic Development"
"104","Do emerging countries prefer local knowledge or distant knowledge? Spillover effect of university collaborations on local firms"
"105","Determinants of technology transfer through the CDM: a within-country analysis for China"
"106","Exploring the spatially varying innovation capacity of the US counties in the framework of Griliches’ knowledge production function: a mixed GWR approach"
"107","An Examination of the Role of Local and Distant Knowledge Spillovers on the US Regional Knowledge Creation"
"108","Essays on Spatial Externality and Spatial Heterogeneity in Applied Spatial Econometrics"
"109","REGIONAL CONTEXT IN TECHNOLOGY TRANSFER AND PATENTS INDUCING GROWTH: STRUCTURAL MODELS FOR MORE- AND LESS-DEVELOPED REGIONS"
"110","A LITERATURE REVIEW OF CLUSTER THEORY: ARE RELATIONS AMONG CLUSTERS IMPORTANT?"
"111","Redes de colaboración y producción de patentes en universidades de la Comunidad Andina de Naciones (UCANS) 2005-2015"
"112","Knowledge rationales in human geography: Economic, policy, empowerment, and methodological"
"113","Toward a new economics of science"
"114","XTOVERID: Stata module to calculate tests of overidentifying restrictions after xtreg, xtivreg, xtivreg2, xthtaylor"
"115","Creating a knowledge‐based city: the example of Hsinchu Science Park"
"116","International Firm Activities and Innovation: Evidence from Knowledge Production Functions for German Firms"
"117","On the economics of sustainability"
"118","A great wall of patents: What is behind China's recent patent explosion?"
"119","Patents and the Geographic Localization of R&D Spillovers in French Manufacturing"
"120","Ivory Tower and Industrial Innovation"
"121","Issues in assessing the contribution of research and development to productivity growth"
"122","Introduction: China’s innovation system and the move towards harmonious growth and endogenous innovation"
"123","[book]Principles of Economics"
"124","Technology transfer and public policy: a review of research and theory"
"125","The Geographic Sources of Innovation: Technological Infrastructure and Product Innovation in the United States"
"126","What Causes Industry Agglomeration? Evidence from Coagglomeration Patterns"
"127","Buzz: face-to-face contact and the urban economy"
"128","Local Geographic Spillovers between University Research and High Technology Innovations"
"129","Interdependencies between the science and technology infrastructure and innovation activities in German regions: empirical findings and policy consequences"
"130","[book]Econometric Analysis of Cross Section and Panel Data"
"131","Patents and R&D at the firm level: A first report"
"132","XTIVREG2: Stata module to perform extended IV/2SLS, GMM and AC/HAC, LIML and k-class regression for panel data models"
"133","Global Engagement and the Innovation Activities of Firms"
"134","From Which Source Do Small Firms Derive Their Innovative Inputs? Some Evidence from Italian Industry"
"135","Links and Impacts: The Influence of Public Research on Industrial R&D"
"136","Innovation and spillovers in regions: Evidence from European patent data"
"137","Route 128: The development of a regional high technology economy"
"138","The Making of an Innovative Region from a Centrally Planned Economy: Institutional Evolution in Zhongguancun Science Park in Beijing"
"139","Academic Research and Industrial Innovation"
"140","Is the Dragon Learning to Fly? An Analysis of the Chinese Patent Explosion"
"141","Spatial Knowledge Spillovers and University Research: Evidence from Austria"
"142","China's horizontal university-industry linkage : where from and where to"
"143","The transfer of innovation capability from universities to enterprises in China: an institutional framework"
"144","Die Erreichbarkeit der Arbeitsmärkte für Berufspendler aus den Gemeinden Schleswig-Holsteins"
"145","[book]R&D, Patents and Productivity"
"146","Geographical Spillovers and University Research: A Spatial EconometricPerspective"
"147","R&D and Technology Transfer: Firm-Level Evidence from Chinese Industry"
"148","Patent Statistics as Economic Indicators: A Survey"
"149","China's Innovation System and the Move towards Harmonious Growth and Endogenous Innovation"
"150","[book]Discrete Choice Analysis: Theory and Application to Travel Demand"
"151","Effects of university research on the geography of innovation"
"152","Real Effects of Academic Research"
"153","[book]Ivory Tower and Industrial Innovation: University-Industry Technology Transfer Before and After the Bayh-Dole Act"
"154","Who Does R&D and Who Patents?"
"155","Financial Development and Innovation in China: Evidence from the Provincial Data"
"156","Do sources of knowledge transfer matter? A firm-level analysis in the PRD, China"
"157","Stata Longitudinal-Data/Panel-Data Reference Manual: Release 11"
"158","Real Effects of Academic Research: Comment"
"159","R&D Performance in Chinese industry"
"160","Transitions from Analog to Digital Computing in Electric Power Systems"
"161","A New A-C Network Analyzer"
"162","Precision, people and progress : a business philosophy at work"
"163","The history of information technology"
"164","Understanding 'How Computing Has Changed the World'"
"165","Interconnection Development and Operation"
"166","Utilizing the Time Characteristics of Alternating Current"
"167","A Transmission Loss Penalty Factor Computer [includes discussion]"
"168","An historical perspective"
"169","[book]Conservation and the Gospel of Efficiency: The Progressive Conservation Movement, 1890-1920"
"170","Recollections of the evolution of realtime control applications to power systems"
"171","Economy loading of power plants and electric systems"
"172","[book]The Electric City: Energy and the Growth of the Chicago Area, 1880-1930"
"173","Edwin L. Harder and the Anacom: analog computing at Westinghouse"
"174","From sectoral systems of innovation to socio-technical systems: Insights about dynamics and change from sociology and institutional theory"
"175","COMPETING TECHNOLOGIES, INCREASING RETURNS, AND LOCK-IN BY HISTORICAL EVENTS*"
"176","Findings follow framings: navigating the empirical turn"
"177","Progress and Problems From Interconnection in Southeastern States"
"178","Users as agents of technological change : The social construction of the automobile in the rural United States"
"179","Co-ordination of Fuel Cost and Transmission Loss by Use of the Network Analyzer to Determine Plant Loading Schedules"
"180","Real-time power system simulation for automatic generation control"
"181","Perpetually Laborious: Computing Electric Power Transmission Before The Electronic Computer"
"182","Coping with Abundance: Energy and Environment in Industrial America."
"183","Automatic Load-Frequency Control System for Central Station Power [includes discussion]"
"184","Analyzing the functional dynamics of technological innovation systems: A scheme of analysis"
"185","The analogue alternative : the electronic analogue computer in Britain and the USA, 1930-1975"
"186","An Advanced Dispatcher Training Simulator"
"187","A New Automatic Dispatching System for Electric Power Systems [includes discussion]"
"188","Loss Evaluation; Part IV. Economic Dispatch Computer Principles and Application [includes discussion]"
"189","Loss Evaluation Part V. Economic Dispatch Computer-Design [includes discussion]"
"190","CONTROL AND THE DIGITAL COMPUTER: THE EARLY YEARS"
"191","The automatic control of electric power in the United States"
"192","Vannevar Bush's network analyzer at the massachusetts institute of technology"
"193","Pioneering work in the field of computer process control"
"194","Technology for Modelling: Electrical Analogies, Engineering Practice, and the Development of Analogue Computing"
"195","PATTERNS OF INDUSTRIAL INNOVATION"
"196","From digital to analog and back: the ideology of intelligent machines in the history of the electrical analyzer, 1870s-1960s"
"197","The M. I. T. Network Analyzer Design and Application to Power System Problems"
"198","Toward a National Power Policy: The New Deal and the Electric Utility Industry, 1933-1941"
"199","Forgotten roots"
"200","[book]Consuming Power: A Social History of American Energies"
"201","The Structuring of Early Computer Use in Life Insurance"
"202","Dispatcher Simulator Training at Consolidated Edison"
"203","Bloodhound on my Trail: Building the Ferranti Argus Process Control Computer"
"204","Automatic Frequency Control"
"205","The social construction of technological systems"
"206","[book]The Wired Northwest: The History of Electric Power, 1870s-1970s"
"207","Evaluation of Methods of Co-ordinating Incremental Fuel Costs and Incremental Transmission Losses"
"208","Intrasystem Transmission Losses"
"209","A Computer for Economic Scheduling and Control of Power Systems [includes discussion]"
"210","Surveying Technology and History: Essential Tensions and Postmodern Possibilities"
"211","Vistas in electric power"
"212","Product complexity, innovation and industrial organisation"
"213","[book]The Social Construction of Technological Systems: New Directions in the Sociology and History of Technology"
"214","Considerations in Developing and Utilizing Operator Training Simulators"
"215","[book]Networks of Power: Electrification in Western Society, 1880-1930"
"216","The association between self-reported change in vote for the presidential election of 2012 and posttraumatic stress disorder symptoms following Hurricane Sandy."
"217","Evaluation of Real-Time Mortality Surveillance Based on Media Reports"
"218","Produção científica sobre o Transtorno de Estresse Pós-Traumático no contexto de desastres"
"219","“A man's home is his castle and fortress”: Effect of age on the psychological distress associated with house damage following super typhoon Haiyan"
"220","General population norms for the Functional Assessment of Cancer Therapy–Kidney Symptom Index (FKSI)"
"221","Assessing psychological well-being: self-report instruments for the NIH Toolbox"
"222","Psychiatric symptoms and psychosocial functioning among hospital personnel during the Gaza War: A repeated cross-sectional study"
"223","Exposure to Hurricane-Related Stressors and Mental Illness After Hurricane Katrina"
"224","Face it: Collecting mental health and disaster related data using Facebook vs. personal interview: The case of the 2011 Fukushima nuclear disaster"
"225","Objective Confirmation of Subjective Measures of Human Well-Being: Evidence from the U.S.A."
"226","A Caution Regarding Rules of Thumb for Variance Inflation Factors"
"227","Trends in mental illness and suicidality after Hurricane Katrina"
"228","The Impact of Event Scale: Revised"
"229","Public Perceptions of Traumatic Events and Policy Preferences During the George W. Bush Administration: A Portrait of America in Turbulent Times"
"230","Hospital personnel reactions to Haiti's earthquake: a preliminary matching study."
"231","The effect of prolonged exposure to war stress on the comorbidity of PTSD and depression among hospital personnel"
"232","Mental Health Effects of Hurricane Sandy: Characteristics, Potential Aftermath, and Response"
"233","Psychometric properties of the Impact of Event scale-revised"
"234","Sources of Industrial Leadership"
"235","Technology, technical and organizational innovations, economic and societal growth"
"236","Changing Governance of the Public Sciences"
"237","Gazelles, Industry Growth and Structural Change"
"238","Policy Responses to Agricultural Biotechnology and Their Impact on African Development"
"239","DIVIDE AND CONQUER? DECENTRALISATION, CO- ORDINATION AND CLUSTER SURVIVAL"
"240","How medical know-how progresses"
"241","The Role of Incumbent Firms and Universities as Drivers of Innovation: Evidence from the Comparison of the Markets for Anti-cancer and AIDS-treatment Drugs"
"242","Schumpeterian patterns of innovation and the sources of breakthrough inventions: evidence from a data-set of R&D awards"
"243","Lead markets and regulation: a framework for analyzing the international diffusion of environmental innovations"
"244","The Participation of Universities in Technology Development: Do Creation and Use Coincide? An Empirical Investigation on the Level of National Innovation Systems"
"245","Entrepreneurial Ventures and the Developmental State"
"246","Enabling innovation at the level of firms, alliances and clusters: a study of Spanish biotech industry"
"247","Strategic alliance networks and innovation : a deterministic and voluntaristic view combined"
"248","Exploring the Linkages of Commerce, Higher Education and Human Development: A Historical Review"
"249","What Makes Clusters Decline? A Study on Disruption and Evolution of a High-Tech Cluster in Denmark"
"250","Innovative Enterprise and Historical Transformation"
"251","Innovation offshoring and outsourcing: what are the implications for industrial policy?"
"252","University-industry relations and entrepreneurship"
"253","Strategic Implications of Offshoring by Financial Services Firms"
"254","«ETHICAL INNOVATION»: A NEW APPROACH TO INNOVATION PROCESSES"
"255","Proactive Versus Reactive M&A Activities in the Biotechnology Industry"
"256","In search of anti-commons, patent-paper pairs in biotechnology, an analysis of citation flows"
"257","Heuristics as Methods: Validity, Reliability and Velocity"
"258","Energy, industry and politics: Energy, vested interests, and long-term economic growth and development"
"259","Application-Specific R&D Capabilities and the Advantage of Incumbents: Evidence from the Anticancer Drug Market"
"260","Assessment of Latent Semantic Analysis (LSA) Text Mining Algorithms for Large Scale Mapping of Patent and Scientific Publication Documents"
"261","Technologie- und Innovationspolitik im globalen Wettbewerb : Veränderte Rahmenbedingungen, institutionelle Transformationen und politische Gestaltungsmöglichkeiten"
"262","The relationships between science, technologies and their industrial exploitation: An illustration through the myths and realities of the so-called ‘European Paradox’"
"263","VoIP Diffusion among New Entrants: A Path Dependent Process"
"264","The Role of Entrepreneurial Universities within Innovation Systems. An Overview and Assessment"
"265","The relationship between university and industry in the knowledge economy : a case study of Thailand's automotive cluster"
"266","National institutions, public–private knowledge flows, and innovation performance: A comparative study of the biotechnology industry in the US and France"
"267","Bioscience Defies a 'One-Size-Fits-All' Definition"
"268","User knowledge in innovation in high technologies: an empirical analysis of semiconductors"
"269","Competition and pluralism in the public sciences: the impact of institutional frameworks on the organisation of academic science ☆"
"270","Demand, innovation, and the dynamics of market structure: The role of experimental users and diverse preferences"
"271","Lead Markets: A New Framework for the International Diffusion of Innovation"
"272","R&D, patents and stock return volatility"
"273","Innovation Offshoring and Asia's 'Upgrading through Innovation' Strategies"
"274","The economic contribution of information technology: Towards comparative and user studies"
"275","A study on the performance of technology transfer units"
"276","Technology Evaluation and Licensing in Portuguese Universities"
"277","Estrategia de co-opetición e Innovación en el sector biotecnológico"
"278","Underinvestment in Public Good Technologies"
"279","Managing competences in entrepreneurial technology firms: a comparative institutional analysis of Germany, Sweden and the UK"
"280","Bottom-up versus top-down policies towards the commercialization of university intellectual property"
"281","Lead Markets, Innovation Differentials and Growth"
"282","Innovation, Catch-up and Leadership in Science-Based Industries"
"283","The Theory of the Market Economy and the Social Foundations of Innovative Enterprise"
"284","Developing the complex system in Korea: the case study of TDX and CDMA telecom system"
"285","Institutional frameworks and innovation in the German and UK pharmaceutical industry"
"286","The Principal-Agent Problem in Development Assistance and Its Negative Impact on Local Entrepreneurship in Africa: Time For New Approaches"
"287","Some critical episodes in the progress of medical innovation: An Anglo-American perspective"
"288","Accounting for change in national systems of innovation: A friendly critique based on the U.S. case"
"289","Ouverture de 'Global Networks and Local Development-2'"
"290","New approaches to plant breeding of orphan crops in Africa"
"291","Pourquoi, pendant que la locomotive de la productivité se mettait en branle aux États-Unis, l’Europe est-elle restée en gare*"
"292","Institutional frameworks and public policy towards biotechnology: Can Asia learn from Europe?"
"293","Combining entrepreneurial and scientific performance in academia: towards a compounded and reciprocal Matthew-effect?"
"294","Relación tecnológica en los acuerdos de cooperación empresarial y generación de innovaciones"
"295","Technical Change and Industrial Dynamics as Evolutionary Processes"
"296","America's Voluntary Standards System: A 'Best Practice' Model for Asian Innovation Policies?"
"297","THE ENTREPRENEURIAL MULTIPLIER EFFECT"
"298","Stimulating R&D and Innovation to Address Romania's Economic Crisis: A Bridge Too Far?"
"299","Technology evaluation and licensing : a literature review and an assessment of the Portuguese universities technology transfer practices"
"300","The evolution of technology-based alliance networks in pharmaceutical biotechnology"
"301","The contribution of academic research to innovation and growth"
"302","Innovation and Corporate Growth in the Evolution of the Drug Industry"
"303","Can Chinese IT Firms Develop Innovative Capabilities Within Global Knowledge Networks"
"304","Soziotechnischer Wandel, Nachhaltigkeit und politische Gestaltungsfähigkeit"
"305","Networks of knowledge: The distributed nature of medical innovation"
"306","Traces of Prior Art: An Analysis of Non-Patent References Found in Patent Documents"
"307","Is There a Significant Contribution of Public Sector in Biomedical Research in Japan? A Detailed Analysis of Government and University Patenting, 1991-2002"
"308","A Comparison of U.S. and European University-Industry Relations in the Life Sciences"
"309","Science-Technology-Industry Links and the ”European Paradox”: Some Notes on the Dynamics of Scientific and Technological Research in Europe"
"310","Knowledge Specialization, Organizational Coupling, and the Boundaries of the Firm: Why Do Firms Know More than They Make?"
"311","On novelty and economics: Schumpeter’s paradox"
"312","Evolution of the knowledge base in knowledge intensive sectors"
"313","Soziotechnischer Wandel als graduelle Transformation"
"314","Interdependencies in Complex Project Ecologies: The Case of Biomedical Innovation"
"315","Transaction costs and capabilities as determinants of the R&D boundaries of the firm: a case study of the ten largest pharmaceutical firms in Japan"
"316","Entrepreneurial effectiveness of European universities: An empirical assessment of antecedents and trade-offs"
"317","Technological innovations and sectoral change: Transformative capacity, adaptability, patterns of change: An analytical framework"
"318","Historical Perspectives on Contemporary Problems: Organizational Capabilities and Strategy and Structure of Large Pulp and Paper Firms, 1950-1980"
"319","A study of the foundry industry dynamics"
"320","Public research and industrial innovation: A comparison of US and European innovation systems in the life sciences"
"321","Emergent Innovation Systems and the Delivery of Clinical Services : The Case of Intra-Ocular Lenses"
"322","Spinning off new ventures from research institutions outside high tech entrepreneurial areas"
"323","Shaping the path to inventive activity: the role of past experience in R&D alliances"
"324","Co-evolution in innovation systems : the case of pharmaceutical biotechnology"
"325","University-Industry Relations and Technological Convergence"
"326","[book]Forms of Enterprise in 20th Century Italy"
"327","High-Tech Immigrant Entrepreneurship in the United States"
"328","Does involvement in patenting jeopardize one’s academic footprint? An analysis of patent-paper pairs in biotechnology"
"329","Innovation in a Cold [War] Climate: Engineering Peace with the American Military-Industrial Complex"
"330","Towards an integrated approach to promoting environmental innovation and national competitiveness"
"331","Late innovation strategies in Asian electronics industries : a conceptual framework and illustrative evidence"
"332","Alternative societal models of learning and innovation in the knowledge economy"
"333","The regional dynamics of innovation: a comparative study of oil and gas industry development in Stavanger and Aberdeen"
"334","In search of the origins of novelty: exploring novel combinations in allopatric speciation"
"335","Assessing policy strategies for the promotion of environmental technologies: A review of India's National Solar Mission"
"336","Exploration and exploitation in innovation systems : the case of pharmaceutical biotechnology"
"337","Efficiency and productivity analysis of Indian pharmaceutical industry using data envelopment analysis"
"338","Publication and Patent Behavior of Academic Researchers: Conflicting, Reinforcing or Merely Co-Existing?"
"339","Gaining the competitive edge using internal and external spillovers: a dynamic analysis"
"340","Participative Democracy and Voice: Rethinking Community Collaboration Beyond Neutral Structures"
"341","The Communicative Accomplishment of Collaboration Failure"
"342","The work gap: a structured review of collaborative teamwork research from 2005 to 2015"
"343","Encouraging interprofessional collaboration: The effects of clinical protocols"
"344","Social movement organizations in Spain: Being partial as the prefigurative enactment of social change"
"345","Broadening Organizational Communication Curricula: Collaboration as Key to 21st-Century Organizing"
"346","The Oxford Handbook of Corporate Social Responsibility"
"347","[book]Moral Consciousness and Communicative Action"
"348","[book chapter]9 Enlarging the Meaning of Group Deliberation: From Discussion to Dialogue"
"349","The Design and Implementation of Cross-Sector Collaborations: Propositions from the Literature"
"350","Chapter 5: Collaborative Interaction: Review of Communication Scholarship and a Research Agenda"
"351","The SAGE handbook of conflict communication"
"352","Collaborative Public Management and Democracy: Evidence from Western Watershed Partnerships"
"353","Rethinking Community Collaboration Through a Dialogic Lens Creativity, Democracy, and Diversity in Community Organizing"
"354","Watching Whale Watching Exploring the Discursive Foundations of Collaborative Relationships"
"355","Consensus Building and Complex Adaptive Systems"
"356","Discourse and Collaboration: The Role of Conversations and Collective Identity"
"357","Longer Term Effects of Head Start"
"358","A Communicative Framework of Value in Cross-Sector Partnerships"
"359","Communicating spirit in a collaborative alliance"
"360","[book]Qualitative Communication Research Methods"
"361","[book]Working Through Environmental Conflict: The Collaborative Learning Approach"
"362","[book]Dialogue : theorizing difference in communication studies"
"363","Taking Democracy to Scale Large Scale Interventions—for Citizens"
"364","Paving Consensus: Enacting, Challenging, and Revising the Consensus Process in a Cohousing Community"
"365","Collaboration Processes: Inside the Black Box"
"366","Communication and public participation in environmental decision making"
"367","The Role of Boundary Spanners as the Interorganizational Link in Nonprofit Collaborating"
"368","[book chapter]Taking a Communication Perspective on Dialogue"
"369","Critical Theory and Corporate Social Responsibility"
"370","Critical Organizational Dialogue: Open Formation and the Demand of “Otherness”"
"371","Ideal Collaboration: A Conceptual Framework of Community Collaboration"
"372","Communicating in a Collaborating Group: A Longitudinal Network Analysis"
"373","“A place you haven't visited before”: Creating the conditions for community dialogue"
"374","A Mesolevel Communicative Model of Collaboration"
"375","[book]Managing to Collaborate: The Theory and Practice of Collaborative Advantage"
"376","[book]Communication and the Evolution of Society"
"377","[book chapter]13 A Bona Fide Perspective for the Future of Groups: Understanding Collaborating Groups"
"378","[book]Transforming Communication, Transforming Business: Building Responsive and Responsible Workplaces"
"379","Communicative Tensions of Community Organizing: The Case of a Local Neighborhood Association"
"380","Muting the Voice of the Local in the Age of the Global: How Communication Practices Compromised Public Participation in India's Allain Dunhangan Environmental Impact Assessment"
"381","INSTITUTIONAL EFFECTS OF INTERORGANIZATIONAL COLLABORATION: THE EMERGENCE OF PROTO-INSTITUTIONS"
"382","Interorganizational Collaboration Explored Through the Bona Fide Network Perspective"
"383","[book]Doing Critical Management Research"
"384","Collaborative Tensions: Practitioners' Experiences of Interorganizational Relationships"
"385","Engagement as Co-Generative Theorizing"
"386","The Communicative Constitution of Collective Identity in Interorganizational Collaboration"
"387","Public dialogue and participatory democracy : the cupertino community project"
"388","Collaborative Interaction: Review of Communication Scholarship and a Research Agenda"
"389","Public Participation as Participatory Communication in Environmental Policy Decision-Making: From Concepts to Structured Conversations"
"390","Across the Great Divide : explorations in collaborative conservation and the American West"
"391","[book chapter]Dialogue, Conflict, and Community"
"392","Cross-Sector Partnerships to Address Social Issues: Challenges to Theory and Practice"
"393","Barriers to advancing the science and practice of marketing"
"394","Research frontiers in cognitive, socio-cognitive, behavioural, social and applied psychology: implications for marketing theory and consumer research"
"395","Progress and challenges in probing the human brain."
"396","Investigating Variation in Replicability A ''Many Labs'' Replication Project"
"397","Associative Learning Increases Trial-by-Trial Similarity of BOLD-MRI Patterns"
"398","Does One Bad Apple(Juice) Spoil the Bunch? Implicit Attitudes Toward One Product Transfer to Other Products by the Same Brand"
"399","Understanding and Using the Implicit Association Test: III. Meta-Analysis of Predictive Validity."
"400","The Cognitive Atlas: Toward a Knowledge Foundation for Cognitive Neuroscience"
"401","Large-scale automated synthesis of human functional neuroimaging data"
"402","Human Prefrontal Cortex Is Not Specific for Working Memory: A Functional MRI Study☆"
"403","Faking of the Implicit Association Test Is Statistically Detectable and Partly Correctable"
"404","Voodoo and circularity errors"
"405","Audience preferences are predicted by temporal reliability of neural processing"
"406","Measuring Individual Differences in Implicit Cognition: The Implicit Association Test"
"407","Understanding and Using the Implicit Association Test: II. Method Variables and Construct Validity"
"408","Decoding Spontaneous Emotional States in the Human Brain"
"409","From Brain Maps to Cognitive Ontologies: Informatics and the Search for Mental Structure"
"410","Psychologist Accused of Fraud on 'Astonishing Scale'"
"411","Facilitation in recognizing pairs of words: Evidence of a dependence between retrieval operations."
