"article_ID","article_title","keyword_ID","keyword"
"624","Impact of node dynamics parameters on topology identification of complex dynamical networks","30","Impact"
"644","Identifying the Topology of a Coupled FitzHugh–Nagumo Neurobiological Network via a Pinning Mechanism","28","Network"
"646","Topology Identification and Module–Phase Synchronization of Neural Network With Time Delay","28","Network"
"653","Topology Identification of Complex Network via Chaotic Ant Swarm Algorithm","28","Network"
"666","Weight Identification of a Weighted Bipartite Graph Complex Dynamical Network with Coupling Delay","28","Network"
"672","Synchronization: An Obstacle to Identification of Network Topology","28","Network"
"741","Management innovation","25","Management"
"752","Flexibility as Process Mobility: The Management of Plant Capabilities for Quick Response Manufacturing","25","Management"
"762","Building Theory about Theory Building: What Constitutes a Theoretical Contribution?","21","Theory"
"776","Thick Description: Towards an Interpretive Theory of Culture","21","Theory"
"790","Coal Smoke and the Costs of the Industrial Revolution","69","Revolution"
"808","Urban Resurgence and the Consumer City","52","Consumer"
"830","The Impact of Trade on Intra‐Industry Reallocations and Aggregate Industry Productivity","30","Impact"
"838","Railroads of the Raj: Estimating the Impact of Transportation Infrastructure","30","Impact"
"841","Facebook use, envy, and depression among college students","1","Facebook"
"843","Mother, baby and Facebook makes three: does social media provide social support for new mothers?","1","Facebook"
"846","College students' Facebook posts and locus of control","1","Facebook"
"847","Facebook Paradox? The Effects of Facebooking on Individuals' Social Relationships and Psychological Well-being","1","Facebook"
"848","Reassessing the Facebook Experiment: Critical Thinking About the Validity of Big Data Research","1","Facebook"
"848","Reassessing the Facebook Experiment: Critical Thinking About the Validity of Big Data Research","76","Data"
"853","The role of chronotype on Facebook usage aims and attitudes towards Facebook and its features","1","Facebook"
"857","The Mediating Roles of Upward Social Comparison and Self-esteem and the Moderating Role of Social Comparison Orientation in the Association between Social Networking Site Usage and Subjective Well-Being","17","Site"
"857","The Mediating Roles of Upward Social Comparison and Self-esteem and the Moderating Role of Social Comparison Orientation in the Association between Social Networking Site Usage and Subjective Well-Being","20","Usage"
"858","Self-esteem moderates the influence of self-presentation style on Facebook users’ sense of subjective well-being","1","Facebook"
"860","An Empirical Study of Discontinuous Use Intention on SNS: From a Perspective of Society Comparison Theory","21","Theory"
"861","Researching The Influence of Online Social Networks on The Students’ Communication – 1St Part","31","Influence"
"863","The interplay between Facebook use, social comparison, envy, and depression","1","Facebook"
"867","An Exploratory Study of the Relationship between Social Technology Use and Depression among College Students","24","Relationship"
"875","Understanding the relationship between Facebook use and adaptation to financial hardship: Evidence from a longitudinal panel study","1","Facebook"
"876","An exploration of the link between adult attachment and problematic Facebook use","1","Facebook"
"879","Influence of Personality on Emotional Contagion through Social Media","31","Influence"
"882","Why Do Young People Multitask With Multiple Media? Explicating the Relationships Among Sensation Seeking, Needs, and Media Multitasking Behavior","39","Behavior"
"884","Associations Between Internet-Based Professional Social Networking and Emotional Distress","73","Professional"
"885","Technology Addiction: How Social Network Sites Impact our Lives","28","Network"
"885","Technology Addiction: How Social Network Sites Impact our Lives","30","Impact"
"886","The Relationship Between Online Social Networking and Depression: A Systematic Review of Quantitative Studies","24","Relationship"
"888","Please Stop Rubbing Your Relationship In My Face(book): An Investigation of Online Romantic Social Comparison","24","Relationship"
"890","Pro-social messages and transcendence: A content analysis of Facebook reactions to Mark Zuckerberg's donation pledge","1","Facebook"
"894","Social Comparison as the Thief of Joy: Emotional Consequences of Viewing Strangers’ Instagram Posts","5","Instagram"
"897","Cultural Background and Measurement of Usage Moderate the Association Between Social Networking Sites (SNSs) Usage and Mental Health: A Meta-Analysis","20","Usage"
"901","A systematic review of the mental health outcomes associated with Facebook use","1","Facebook"
"907","Two faces of social comparison on Facebook: The interplay between social comparison orientation, emotions, and psychological well-being","1","Facebook"
"910","The Impact of Facebook on Social Comparison and Happiness: Evidence from a Natural Experiment","30","Impact"
"910","The Impact of Facebook on Social Comparison and Happiness: Evidence from a Natural Experiment","1","Facebook"
"914","Privacy-Aware personal Information Discovery model based on the cloud","59","Information"
"915","Passive and Active Facebook Use Measure (PAUM): Validation and relationship to the Reinforcement Sensitivity Theory","1","Facebook"
"915","Passive and Active Facebook Use Measure (PAUM): Validation and relationship to the Reinforcement Sensitivity Theory","21","Theory"
"917","Envy Sensitivity on Twitter and Facebook Among Japanese Young Adults","2","Twitter"
"917","Envy Sensitivity on Twitter and Facebook Among Japanese Young Adults","1","Facebook"
"921","The emotional responses of browsing Facebook","1","Facebook"
"922","The Impact of Facebookers’ Posts on Other Users’ Attitudes According to Their Age and Gender: Evidence from Al Ain University of Science and Technology","30","Impact"
"924","Facebook use and sleep quality: light interacts with socially induced alertness","1","Facebook"
"925","Facebook and Happiness: Life in a Frame","1","Facebook"
"926","Lurking and L2 learners on a Facebook group: the voices of the invisibles","1","Facebook"
"927","Fear of Missing Out as a Predictor of Problematic Social Media Use and Phubbing Behavior among Flemish Adolescents","39","Behavior"
"929","Snap, Tweet and Post: College Student Social Media Perceptions and Heutagogic Practices and Uses","72","Tweet"
"929","Snap, Tweet and Post: College Student Social Media Perceptions and Heutagogic Practices and Uses","48","Uses"
"930","Perceptions of Perfection: The Influence of Social Media on Interpersonal Evaluations","31","Influence"
"931","Social Network Sites, Individual Social Capital and Happiness","28","Network"
"934","Personality Traits, Motivations, and Emotional Consequences of Social Media Usage","20","Usage"
"935","Lise Öğrencilerinin Sosyal Ağ Siteleri Kullanımının Mutluluk, Psikolojik İyi-Oluş ve Yaşam Doyumlarına Etkisi: Facebook ve Twitter Örneği","1","Facebook"
"935","Lise Öğrencilerinin Sosyal Ağ Siteleri Kullanımının Mutluluk, Psikolojik İyi-Oluş ve Yaşam Doyumlarına Etkisi: Facebook ve Twitter Örneği","2","Twitter"
"938","Facebook Addiction Disorder (FAD) among German students—A longitudinal approach","1","Facebook"
"939","Time Spent on Social Network Sites and Psychological Well-Being: A Meta-Analysis","28","Network"
"941","Insights from an expressive writing intervention on Facebook to help alleviate depressive symptoms","1","Facebook"
"942","The effects of social media on students' behaviors; Facebook as a case study","1","Facebook"
"943","Millennials and the normalization of surveillance on Facebook","1","Facebook"
"944","Focusing on others before you shop: exposure to Facebook promotes conventional product configurations","1","Facebook"
"946","""Transformation Tuesday"": Temporal Context and Post Valence Influence the Provision of Social Support on Social Media","31","Influence"
"947","The Long Arm of the Digital Tether: Communication with Home during Study Abroad.","68","Digital"
"948","What triggers envy on Social Network Sites? A comparison between shared experiential and material purchases","28","Network"
"950","Do Social Network Sites Enhance or Undermine Subjective Well‐Being? A Critical Review","28","Network"
"955","The impact of Facebook and smart phone usage on the leisure activities and college adjustment of students in Serbia","1","Facebook"
"956","Content Management and Hashtag Recommendation in a P2P Social Networking Application","14","Content"
"956","Content Management and Hashtag Recommendation in a P2P Social Networking Application","25","Management"
"956","Content Management and Hashtag Recommendation in a P2P Social Networking Application","12","Hashtag"
"959","Relationship between High School Students' Facebook Addiction and Loneliness Status.","24","Relationship"
"959","Relationship between High School Students' Facebook Addiction and Loneliness Status.","1","Facebook"
"960","The Facebook Experiment: Quitting Facebook Leads to Higher Levels of Well-Being","1","Facebook"
"961","Reducing Risk for Mental Health Conditions Associated with Social Media Use: Encouraging “REAL” Communication","43","Risk"
"961","Reducing Risk for Mental Health Conditions Associated with Social Media Use: Encouraging “REAL” Communication","63","Health"
"963","Well-being and problematic Facebook use","1","Facebook"
"964","Do Our Facebook Friends Make Us Feel Worse? A Study of Social Comparison and Emotion","1","Facebook"
"965","Feelings on Facebook and their correlates with psychological well-being: The moderating role of culture","1","Facebook"
"966","Psychological effects of Facebook use : links between intensity of Facebook use, envy, loneliness and FoMO","1","Facebook"
"967","Rotating Online Behavior Change Interventions Increases Effectiveness But Also Increases Attrition","39","Behavior"
"970","Examining college students' uptake of Facebook through the lens of domestication theory:","1","Facebook"
"971","The Impact of Social Media on Social Comparison and Envy in Teenagers: The Moderating Role of the Parent Comparing Children and In-group Competition among Friends","30","Impact"
"972","Facebook users’ loneliness based on different types of interpersonal relationships: Links to grandiosity and envy","1","Facebook"
"973","Need for Containment as a Motivation for Facebook Use","1","Facebook"
"975","Is there any 'Facebook depression'? Exploring the moderating roles of neuroticism, Facebook social comparison and envy","1","Facebook"
"981","[book chapter]The Neuroscience of Smartphone/Social Media Usage and the Growing Need to Include Methods from ‘Psychoinformatics’","20","Usage"
"982","Do You “Like” Me?: Reassurance Seeking on Facebook and Depression","1","Facebook"
"983","Instagram Use, Loneliness, and Social Comparison Orientation: Interact and Browse on Social Media, But Don't Compare","5","Instagram"
"985","Mining the social mediome.","61","Mining"
"989","Information Disclosure and Control on Facebook: Are They Two Sides of the Same Coin or Two Different Processes?","59","Information"
"990","The Relationship among Young Adult College Students’ Depression, Anxiety, Stress, Demographics, Life Satisfaction, and Coping Styles","24","Relationship"
"994","Whose Space? Differences Among Users and Non-Users of Social Network Sites","28","Network"
"995","“Facebook Depression?” Social Networking Site Use and Depression in Older Adolescents","17","Site"
"996","Identity construction on Facebook","1","Facebook"
"997","The relationship between frequency of Facebook use, participation in Facebook activities, and student engagement","1","Facebook"
"1000","Attitudes Toward Online Social Connection and Self-Disclosure as Predictors of Facebook Communication and Relational Closeness","1","Facebook"
"1002","Mirror, Mirror on my Facebook Wall: Effects of Exposure to Facebook on Self-Esteem","1","Facebook"
"1003","The links that bind: Uncovering novel motivations for linking on Facebook","1","Facebook"
"1004","Let Users Generate Your Video Ads? The Impact of Video Source and Quality on Consumers' Perceptions and Intended Behaviors","30","Impact"
"1005","Clinical Report—The Impact of Social Media on Children, Adolescents, and Families","30","Impact"
"1012","Facebook and Online Privacy: Attitudes, Behaviors, and Unintended Consequences","1","Facebook"
"1013","The Real You? The Role of Visual Cues and Comment Congruence in Perceptions of Social Attractiveness from Facebook Profiles","1","Facebook"
"1015","Who's Posting Facebook Faux Pas? A Cross-Cultural Examination of Personality Differences","1","Facebook"
"1016","Communication Competence, Social Support, and Depression Among College Students: A Model of Facebook and Face-to-Face Support Network Influence","1","Facebook"
"1016","Communication Competence, Social Support, and Depression Among College Students: A Model of Facebook and Face-to-Face Support Network Influence","28","Network"
"1016","Communication Competence, Social Support, and Depression Among College Students: A Model of Facebook and Face-to-Face Support Network Influence","31","Influence"
"1017","Peer Status in Emerging Adulthood: Associations of Popularity and Preference With Social Roles and Behavior","39","Behavior"
"1019","Who does what on Facebook? Age, sex, and relationship status as predictors of Facebook use","1","Facebook"
"1020","Imagining Twitter as an Imagined Community","2","Twitter"
"1022","The Benefits of Facebook ''Friends:'' Social Capital and College Students' Use of Online Social Network Sites","1","Facebook"
"1022","The Benefits of Facebook ''Friends:'' Social Capital and College Students' Use of Online Social Network Sites","28","Network"
"1023","Uses and Gratifications of Social Media: A Comparison of Facebook and Instant Messaging","48","Uses"
"1023","Uses and Gratifications of Social Media: A Comparison of Facebook and Instant Messaging","1","Facebook"
"1026","Facebook as a toolkit: A uses and gratification approach to unbundling feature use","1","Facebook"
"1028","Personality and motivations associated with Facebook use","1","Facebook"
"1029","“They Are Happier and Having Better Lives than I Am”: The Impact of Using Facebook on Perceptions of Others' Lives","30","Impact"
"1029","“They Are Happier and Having Better Lives than I Am”: The Impact of Using Facebook on Perceptions of Others' Lives","1","Facebook"
"1031","News sharing in social media: The effect of gratifications and prior experience","38","News"
"1032","Mood Effects of Televised Sports Events The Impact of FIFA World Cups on Viewers’ Mood and Judgments","30","Impact"
"1039","The Facebook Paths to Happiness: Effects of the Number of Facebook Friends and Self-Presentation on Subjective Well-Being","1","Facebook"
"1044","Self-Generated Versus Other-Generated Statements and Impressions in Computer-Mediated Communication A Test of Warranting Theory Using Facebook","21","Theory"
"1044","Self-Generated Versus Other-Generated Statements and Impressions in Computer-Mediated Communication A Test of Warranting Theory Using Facebook","1","Facebook"
"1047","[book]Mass Communication Research and Theory","21","Theory"
"1054","Audit Committee Interlocks and the Contagion of Accrual-Based and Real Earnings Management","25","Management"
"1058","Board Interlocks and Earnings Management Contagion","25","Management"
"1065","Agents without Principles? the Spread of the Poison Pill through the Intercorporate Network","28","Network"
"1069","How Do Regulatory Reforms to Enhance Auditor Independence Work in Practice","22","Practice"
"1079","Former Audit Firm Personnel as CFOs: Effect on Earnings Management","25","Management"
"1082","The Audit Committee: Management Watchdog or Personal Friend of the CEO?","25","Management"
"1084","Auditor Concentration And The Impact Of Interlocking Directorates","30","Impact"
"1091","The Impact of Board Interlocks on Auditor Choice and Audit Fees","30","Impact"
"1093","Auditor Switches in the Pre‐ and Post‐Enron Eras: Risk or Realignment?","43","Risk"
"1098","The Impact of Scale and Scope on Global University Rankings: What We Know and What We Need to Learn","30","Impact"
"1122","[book]Economics of Distance and Online Learning: Theory, Practice and Research","22","Practice"
"1137","Analysis of Diurnal and Seasonal Behavior of Surface Ozone and Its Precursors (NOx) at a Semi-Arid Rural Site in Southern India","39","Behavior"
"1137","Analysis of Diurnal and Seasonal Behavior of Surface Ozone and Its Precursors (NOx) at a Semi-Arid Rural Site in Southern India","17","Site"
"1143","Air Pollution, the Automobile, and Public Health","63","Health"
"1158","Health Effects of Ozone","63","Health"
"1163","Long-Term Ozone Exposure and Mortality","76","Data"
"1176","Simulating the Social Dynamics of Spatial Disparity Through Neighborhood Network Evolution","28","Network"
"1182","Friendship Networks Through Time: An Actor-Oriented Dynamic Statistical Network Model","28","Network"
"1184","Network analysis and social dynamics","28","Network"
"1185","The Epidemic Theory of Ghettos and Neighborhood Effects on Dropping Out and Teenage Childbearing","21","Theory"
"1196","Network Topologies and Virtual Place","28","Network"
"1213","The Psychology of Social Impact","30","Impact"
"1220","Spatial Choice and Constraints on Behavior","39","Behavior"
"1232","Threshold Models of Collective Behavior","39","Behavior"
"1240","[book]Social Network Analysis: Methods and Applications","28","Network"
"1249","Estimates and 25-year trends of the global burden of disease attributable to ambient air pollution: an analysis of data from the Global Burden of Diseases Study 2015.","63","Health"
"1260","Particulate Matter Air Pollution and the Risk of Incident CKD and Progression to ESRD","43","Risk"
"1262","Regulation of fine particulate matter (PM2.5) in the Pacific Rim: perspectives from the APRU Global Health Program","63","Health"
"1276","Estimating the Health Cost of Air Pollution: The Case of Morocco","63","Health"
"1287","Characterization of Fine Particulate Matter and Associated Health Burden in Nanjing","63","Health"
"1291","Relationship between chemical composition and oxidative potential of secondary organic aerosol from polycyclic aromatic hydrocarbons","24","Relationship"
"1294","Building Healthy Community Environments: A Public Health Approach","63","Health"
"1323","Developing a Clinical Approach to Air Pollution and Cardiovascular Health","63","Health"
"1334","Effects of the Ambient Fine Particulate Matter on Public Awareness of Lung Cancer Risk in China: Evidence from the Internet-Based Big Data Platform","43","Risk"
"1334","Effects of the Ambient Fine Particulate Matter on Public Awareness of Lung Cancer Risk in China: Evidence from the Internet-Based Big Data Platform","76","Data"
"1334","Effects of the Ambient Fine Particulate Matter on Public Awareness of Lung Cancer Risk in China: Evidence from the Internet-Based Big Data Platform","19","Platform"
"1339","Towards Personal Exposures: How Technology Is Changing Air Pollution and Health Research","63","Health"
"1351","Urban Form, Air Pollution, and Health","63","Health"
"1356","The effects of PM2.5 on asthmatic and allergic diseases or symptoms in preschool children of six Chinese cities, based on China, Children, Homes and Health (CCHH) project","63","Health"
"1361","Effects of Leisure‐Time and Transport‐Related Physical Activities on the Risk of Incident and Recurrent Myocardial Infarction and Interaction With Traffic‐Related Air Pollution: A Cohort Study","43","Risk"
"1374","Ambient air pollution in relation to diabetes and glucose-homoeostasis markers in China: a cross-sectional study with findings from the 33 Communities Chinese Health Study","63","Health"
"1375","Health Impacts of Ambient Air Pollution in Finland","63","Health"
"1377","Land Use Regression Models for Alkylbenzenes in a Middle Eastern Megacity: Tehran Study of Exposure Prediction for Environmental Health Research (Tehran SEPEHR)","63","Health"
"1387","Long-term exposure to ambient air pollution (including PM 1 ) and metabolic syndrome: The 33 Communities Chinese Health Study (33CCHS)","63","Health"
"1394","Sensitivities of Simulated Source Contributions and Health Impacts of PM2.5 to Aerosol Models","63","Health"
"1398","Exposure to Ambient Fine Particulate Air Pollution in Utero as a Risk Factor for Child Stunting in Bangladesh","43","Risk"
"1399","Health Impact of PM10, PM2.5 and Black Carbon Exposure Due to Different Source Sectors in Stockholm, Gothenburg and Umea, Sweden","63","Health"
"1399","Health Impact of PM10, PM2.5 and Black Carbon Exposure Due to Different Source Sectors in Stockholm, Gothenburg and Umea, Sweden","30","Impact"
"1405","Investigating Everyday Information Behavior of Using Ambient Displays: A Case of Indoor Air Quality Monitors","59","Information"
"1405","Investigating Everyday Information Behavior of Using Ambient Displays: A Case of Indoor Air Quality Monitors","39","Behavior"
"1406","Research on the Topological Properties of Air Quality Index Based on a Complex Network","28","Network"
"1407","Impact of the financial crisis on COPD burden: Greece as a case study","30","Impact"
"1416","Stringent Emission Control Policies Can Provide Large Improvements in Air Quality and Public Health in India","63","Health"
"1424","Winter haze over North China Plain from 2009 to 2016: Influence of emission and meteorology","31","Influence"
"1425","Influence of natural ventilation rate on indoor PM2.5 deposition","31","Influence"
"1427","Impact of air pollution control policies on future PM2.5 concentrations and their source contributions in China","30","Impact"
"1428","Divining the Future of Air Pollution in China: Huge Gains in Health Can Be Achieved, but Much Work Remains","63","Health"
"1429","Spatiotemporal Assessment of PM2.5-Related Economic Losses from Health Impacts during 2014–2016 in China","63","Health"
"1434","Premature Deaths Attributable to Exposure to Ambient Fine Particulate Matter in the Republic of Korea: Implication for Future Environmental Health","63","Health"
"1442","A Comparison of the Health Effects of Ambient Particulate Matter Air Pollution from Five Emission Sources","63","Health"
"1443","Health impact of China's Air Pollution Prevention and Control Action Plan: an analysis of national air quality monitoring and mortality data","63","Health"
"1449","POLLAR: Impact of air POLLution on Asthma and Rhinitis; a European Institute of Innovation and Technology Health (EIT Health) project","30","Impact"
"1449","POLLAR: Impact of air POLLution on Asthma and Rhinitis; a European Institute of Innovation and Technology Health (EIT Health) project","63","Health"
"1456","Health and economic benefits of building ventilation interventions for reducing indoor PM2.5 exposure from both indoor and outdoor origins in urban Beijing, China","63","Health"
"1465","The Impact of Air Pollution on Our Epigenome: How Far Is the Evidence? (A Systematic Review)","30","Impact"
"1475","Impacts of Climate Change on Health and Wellbeing in South Africa","63","Health"
"1476","Spatiotemporal description of BTEX volatile organic compounds in a Middle Eastern megacity : Tehran Study of Exposure Prediction for Environmental Health Research (Tehran SEPEHR)","63","Health"
"1483","Impact of climate and air pollution on acute coronary syndromes: an update from the European Society of Cardiology Congress 2017","30","Impact"
"1489","Interactions of Climate Change, Air Pollution, and Human Health","63","Health"
"1490","Towards the Integrated Study of Urban Climate, Air Pollution, and Public Health","63","Health"
"1491","Long‐Term Effects of Ambient Particulate Matter (With an Aerodynamic Diameter ≤2.5 μm) on Hypertension and Blood Pressure and Attributable Risk Among Reproductive‐Age Adults in China","43","Risk"
"1497","Relationship of Time-Activity-Adjusted Particle Number Concentration with Blood Pressure","24","Relationship"
"1506","Maternal Exposure to Ambient Particulate Matter ≤2.5 µm During Pregnancy and the Risk for High Blood Pressure in Childhood","43","Risk"
"1522","Aerosol Health Effects from Molecular to Global Scales","63","Health"
"1542","Research Needs on Respiratory Health in Migrant and Refugee Populations. An Official American Thoracic Society and European Respiratory Society Workshop Report","63","Health"
"1544","Air Quality Monitoring Network Design Optimisation for Robust Land Use Regression Models","28","Network"
"1548","The Canadian Urban Environmental Health Research Consortium – a protocol for building a national environmental exposure data platform for integrated analyses of urban form and health","63","Health"
"1549","Influence of urban and transport planning and the city environment on cardiovascular disease","31","Influence"
"1555","Impact of hypertension on health-related quality of life among different age subgroups in Shanghai: the subpopulation treatment effect pattern plot analysis","30","Impact"
"1557","International Changes in Environmental Conditions and Their Personal Health Consequences","63","Health"
"1566","Differential Susceptibility in Ambient Particle–Related Risk of First-Ever Stroke: Findings From a National Case-Crossover Study","43","Risk"
"1576","A Narrative Review on the Human Health Effects of Ambient Air Pollution in Sub-Saharan Africa: An Urgent Need for Health Effects Studies","63","Health"
"1577","Health impact assessment of PM2.5-related mitigation scenarios using local risk coefficient estimates in 9 Japanese cities","63","Health"
"1579","An Integrated Risk Function for Estimating the Global Burden of Disease Attributable to Ambient Fine Particulate Matter Exposure","43","Risk"
"1589","A Relationship Hierarchy Structural Fuzzy ANP model to explore development of marketing strategic alliances","24","Relationship"
"1594","Chaos theory in Strategy Research","15","Strategy"
"1602","The Cybernetic Theory of Decision","21","Theory"
"1618","Prospect Theory: An Analysis of Decision Under Risk","43","Risk"
"1619","Superstitious Learning with Rare Strategic Decisions: Theory and Evidence from Corporate Acquisitions","21","Theory"
"1620","[book]Managing Network Resources: Alliances, Affiliations, and Other Relational Assets","28","Network"
"1621","[book]A Behavioral Theory of the Firm","21","Theory"
"1633","Toward a Comprehensive Theory of Collaboration","21","Theory"
"1656","Impact of age-0 bluefish (Pomatomus saltatrix) predation on age-0 fishes in the Hudson River estuary: evidence for density-dependent loss of juvenile striped bass (Morone saxatilis)","30","Impact"
"1658","Digital signal restoration using projection and fuzzy set techniques","68","Digital"
"1678","Estimating the Basic Reproductive Number from Viral Sequence Data","76","Data"
"1700","Comparative Signature Diagrams to Evaluate Biophysical Data for Differences in Protein Structure Across Various Formulations","76","Data"
